Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
97,7,9.08,Elijah Moore,WR,451.0,1.0,5.0,37.0,1.0,12.1,2.3/4.1,CLE,5.0,146.0,-49.0,https://www.4for4.com/player/elijah-moore,41
98,7,9.17,Treylon Burks,WR,491.0,11.8,4.0,33.0,2.0,13.5,3.0/4.9,TEN,7.0,101.0,-3.0,https://www.4for4.com/player/treylon-burks,42
100,7,9.33,Jaxon Smith-Njigba,WR,,,,,,,,SEA,5.0,94.0,6.0,https://www.4for4.com/player/jaxon-smith-njigba,43
101,7,9.42,JuJu Smith-Schuster,WR,933.0,0.0,,78.0,3.0,12.0,4.9/6.3,NE,11.0,113.0,-12.0,https://www.4for4.com/player/juju-smith-schuster,44
103,7,9.58,Brandin Cooks,WR,706.0,3.5,2.0,57.0,3.0,12.3,4.4/7.2,DAL,7.0,91.0,12.0,https://www.4for4.com/player/brandin-cooks,45
106,8,9.83,Skyy Moore,WR,274.0,8.0,3.0,22.0,,11.4,1.4/2.1,KC,10.0,111.0,-5.0,https://www.4for4.com/player/skyy-moore,46
107,8,9.92,Gabe Davis,WR,836.0,0.0,,48.0,7.0,17.4,3.2/6.2,BUF,13.0,120.0,-13.0,https://www.4for4.com/player/gabe-davis,47
108,8,10.0,Quentin Johnston,WR,,,,,,,,LAC,5.0,124.0,-16.0,https://www.4for4.com/player/quentin-johnston,48
110,8,10.17,Rashod Bateman,WR,285.0,0.0,,15.0,2.0,19.0,2.5/4.7,BAL,13.0,220.0,-110.0,https://www.4for4.com/player/rashod-bateman,49
111,8,10.25,Jakobi Meyers,WR,793.0,-5.5,2.0,67.0,6.0,12.0,4.8/6.9,LV,13.0,118.0,-7.0,https://www.4for4.com/player/jakobi-meyers,50
112,8,10.33,Nico Collins,WR,481.0,0.0,,37.0,2.0,13.0,3.7/6.6,HOU,7.0,153.0,-41.0,https://www.4for4.com/player/nico-collins,51
115,8,10.58,Kadarius Toney,WR,253.0,11.7,7.0,16.0,3.0,10.7,1.8/2.2,KC,10.0,154.0,-39.0,https://www.4for4.com/player/kadarius-toney,52
120,8,11.0,Odell Beckham Jr.,WR,450.0,7.0,2.0,32.0,3.0,13.6,3.2/5.9,BAL,13.0,99.0,21.0,https://www.4for4.com/player/odell-beckham-jr.,53
124,9,11.33,Romeo Doubs,WR,436.0,11.0,1.0,42.0,3.0,10.1,3.2/5.2,GB,6.0,185.0,-61.0,https://www.4for4.com/player/romeo-doubs,54
132,9,12.0,Rondale Moore,WR,409.0,-0.8,6.0,41.0,1.0,10.1,5.1/7.0,ARI,14.0,129.0,3.0,https://www.4for4.com/player/rondale-moore,55
136,9,12.33,Darnell Mooney,WR,495.0,2.0,1.0,40.0,2.0,12.3,3.3/5.1,CHI,13.0,141.0,-5.0,https://www.4for4.com/player/darnell-mooney,56
137,9,12.42,Allen Lazard,WR,788.0,0.0,2.0,60.0,6.0,13.1,4.0/6.7,NYJ,7.0,156.0,-19.0,https://www.4for4.com/player/allen-lazard,57
138,9,12.5,Jameson Williams,WR,81.0,40.0,1.0,1.0,1.0,41.0,0.2/1.5,DET,9.0,193.0,-55.0,https://www.4for4.com/player/jameson-williams,58
143,9,12.92,Marvin Mims Jr.,WR,,,,,,,,DEN,9.0,,,https://www.4for4.com/player/marvin-mims-jr.,59
145,10,13.08,Zay Jones,WR,841.0,4.5,4.0,82.0,5.0,10.0,5.1/7.6,JAC,9.0,181.0,-36.0,https://www.4for4.com/player/zay-jones,60
146,10,13.17,Tyler Boyd,WR,785.0,0.0,,58.0,5.0,13.1,3.6/5.1,CIN,7.0,149.0,-3.0,https://www.4for4.com/player/tyler-boyd,61
