Rank,Player,Pos,Tier,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,Points,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
42,Courtland Sutton,WR,4,1149.0,0.0,,87.0,10.0,13.2,5.1/8.0,218.4,DEN,12,57.0,-15.0,https://www.4for4.com/player/courtland-sutton,21
44,George Pickens,WR,4,1230.0,4.0,2.0,77.0,8.0,15.8,4.6/7.6,209.7,DAL,10,64.0,-20.0,https://www.4for4.com/player/george-pickens,22
46,Jameson Williams,WR,4,1216.0,5.0,10.0,75.0,8.0,15.5,4.4/7.0,207.1,DET,8,66.0,-20.0,https://www.4for4.com/player/jameson-williams,23
47,Calvin Ridley,WR,4,1196.0,4.0,9.0,80.0,9.0,14.6,4.7/8.2,213.4,TEN,10,61.0,-14.0,https://www.4for4.com/player/calvin-ridley,24
48,DJ Moore,WR,5,1116.0,5.0,10.0,100.0,7.0,10.7,5.9/8.5,203.4,CHI,5,53.0,-5.0,https://www.4for4.com/player/dj-moore,25
49,Garrett Wilson,WR,5,964.0,4.0,4.0,85.0,7.0,11.1,5.0/7.8,181.2,NYJ,9,42.0,7.0,https://www.4for4.com/player/garrett-wilson,26
51,Devonta Smith,WR,5,1033.0,0.0,,82.0,8.0,12.6,4.8/6.8,192.3,PHI,9,62.0,-11.0,https://www.4for4.com/player/devonta-smith,27
52,Jaylen Waddle,WR,5,1053.0,4.0,3.0,79.0,6.0,13.1,4.7/7.0,181.0,MIA,12,65.0,-13.0,https://www.4for4.com/player/jaylen-waddle,28
53,DK Metcalf,WR,5,1040.0,0.0,,77.0,7.0,13.5,4.5/7.8,184.5,PIT,5,47.0,6.0,https://www.4for4.com/player/dk-metcalf,29
54,Zay Flowers,WR,5,1054.0,6.0,9.0,75.0,6.0,13.3,4.4/6.8,179.1,BAL,7,55.0,-1.0,https://www.4for4.com/player/zay-flowers,30
57,Travis Hunter,WR,5,914.0,4.0,9.0,77.0,6.0,11.4,4.5/6.8,166.0,JAC,8,73.0,-16.0,https://www.4for4.com/player/travis-hunter,31
60,Emeka Egbuka,WR,5,827.0,4.9,5.0,71.0,7.0,11.3,4.2/6.6,160.2,TB,9,88.0,-28.0,https://www.4for4.com/player/emeka-egbuka,32
62,Rashee Rice,WR,6,719.0,4.0,3.0,58.0,6.0,12.1,5.3/7.6,137.0,KC,10,60.0,2.0,https://www.4for4.com/player/rashee-rice,33
64,Rome Odunze,WR,6,1076.0,5.0,4.0,74.0,6.0,14.2,4.4/7.4,180.7,CHI,5,76.0,-12.0,https://www.4for4.com/player/rome-odunze,34
66,Chris Olave,WR,6,1084.0,0.0,,84.0,5.0,12.9,4.9/7.7,180.4,NO,11,84.0,-18.0,https://www.4for4.com/player/chris-olave,35
67,Jerry Jeudy,WR,6,1145.0,0.0,,87.0,7.0,13.1,5.1/8.3,200.2,CLE,9,67.0,0.0,https://www.4for4.com/player/jerry-jeudy,36
